"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","CommonName","Degree","degree.layout","Eccentricity","EnzymeCounts","GeneObjects","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","ReactionCounts","selected","SelfLoops","shared name","Stress","SuperPathway","TopologicalCoefficient"
"264","10.34831461","0.01091856","0.09663409","0.66666667","cardiolipin biosynthesis I","4","4","18","9","XC_0014; XC_0186; XC_0300; XC_0516; XC_1408; XC_2001; XC_2454; XC_4117; XC_4263","false","PWY-5668","4.66666667","4","0","1","0.53258427","3","false","0","PWY-5668","5802","false","0.58333333"
"265","10.33707865","0.02215451","0.09673913","0.33333333","phosphatidylethanolamine biosynthesis I","5","5","18","3","XC_1563; XC_1957; XC_3594","false","PWY-5669","3.75","5","0","1","0.53314607","2","false","0","PWY-5669","7750","false","0.4375"
"266","10.38764045","0.0","0.09626825","0.0","phosphatidylglycerol biosynthesis I (plastidic)","1","1","18","7","XC_0214; XC_0516; XC_0518; XC_2001; XC_2454; XC_2870; XC_4220","false","PWY4FS-7","5.0","1","0","0","0.53061798","3","false","0","PWY4FS-7","0","true","0.0"
"267","11.29213483","0.02245075","0.08855721","0.2","CDP-diacylglycerol biosynthesis I","8","8","19","4","XC_0214; XC_0518; XC_2870; XC_4220","false","PWY-5667","2.6","8","0","3","0.48539326","4","false","0","PWY-5667","11626","false","0.44"
"268","12.28651685","0.0","0.08139003","0.0","cardiolipin biosynthesis II","2","2","20","8","XC_0014; XC_0186; XC_0516; XC_1408; XC_2001; XC_2454; XC_4117; XC_4263","false","PWY-5269","5.0","2","0","1","0.43567416","3","false","0","PWY-5269","0","false","0.0"
"269","12.28651685","0.0","0.08139003","0.0","phosphatidylglycerol biosynthesis II (non-plastidic)","1","1","20","7","XC_0214; XC_0516; XC_0518; XC_2001; XC_2454; XC_2870; XC_4220","false","PWY4FS-8","5.0","1","0","0","0.43567416","3","false","0","PWY4FS-8","0","true","0.0"
"270","11.33146067","0.0","0.08824988","0.0","phosphatidylcholine biosynthesis V","1","1","19","1","XC_0035","false","PWY-6825","4.0","1","0","0","0.48342697","3","false","0","PWY-6825","0","false","0.0"
"275","7.01123596","5.237E-5","0.14262821","0.8","superpathway of 5-aminoimidazole ribonucleotide biosynthesis","5","5","15","6","XC_0509; XC_1322; XC_1324; XC_3106; XC_3282; XC_3578","false","PWY-6277","6.2","5","0","0","0.6994382","7","false","0","PWY-6277","8","true","0.41333333"
"276","6.83707865","0.02710421","0.1462613","0.28571429","purine nucleotides <i>de novo</i> biosynthesis I","10","10","15","28","XC_0467; XC_0509; XC_0510; XC_0873; XC_0958; XC_1324; XC_1613; XC_1614; XC_1769; XC_1934; XC_1935; XC_2203; XC_2744; XC_3106; XC_3193; XC_3282; XC_3578; XC_3677; XC_3678; XC_3679; XC_3680; XC_3681; XC_3682; XC_3683; XC_3684; XC_4075; XC_4076; XC_4180","false","DENOVOPURINE2-PWY","5.875","10","0","2","0.70814607","4","false","0","DENOVOPURINE2-PWY","13770","true","0.24479167"
"277","7.02247191","2.9201E-4","0.1424","0.5","purine nucleotides <i>de novo</i> biosynthesis II","6","6","15","15","XC_0467; XC_0509; XC_0510; XC_1322; XC_1324; XC_1613; XC_1614; XC_1769; XC_1934; XC_1935; XC_2744; XC_3193; XC_3282; XC_3578; XC_4180","false","PWY-841","5.4","6","0","1","0.6988764","6","false","0","PWY-841","18","true","0.43333333"
"278","7.01685393","3.65E-5","0.14251401","0.83333333","5-aminoimidazole ribonucleotide biosynthesis I","5","5","15","5","XC_0509; XC_1322; XC_1324; XC_3282; XC_3578","false","PWY-6121","7.0","5","0","1","0.6991573","5","false","0","PWY-6121","6","false","0.46666667"
"279","7.01685393","3.65E-5","0.14251401","0.83333333","5-aminoimidazole ribonucleotide biosynthesis II","5","5","15","5","XC_0509; XC_1324; XC_3106; XC_3282; XC_3578","false","PWY-6122","7.0","5","0","1","0.6991573","5","false","0","PWY-6122","6","false","0.46666667"
"280","7.33707865","0.06685686","0.13629403","0.04761905","adenosine nucleotides <i>de novo</i> biosynthesis","7","7","16","14","XC_0873; XC_2203; XC_2744; XC_3193; XC_3677; XC_3678; XC_3679; XC_3680; XC_3681; XC_3682; XC_3683; XC_3684; XC_4075; XC_4076","false","PWY-6126","3.71428571","7","0","0","0.68314607","8","false","0","PWY-6126","30952","false","0.23076923"
"281","7.09550562","0.0","0.14093428","0.0","guanine and guanosine salvage I","2","2","15","2","XC_2956; XC_2957","false","PWY-6620","11.0","2","0","1","0.69522472","2","false","0","PWY-6620","0","false","0.0"
"282","6.87078652","0.01195657","0.14554374","0.0","inosine-5'-phosphate biosynthesis II","4","4","15","5","XC_0467; XC_0510; XC_1613; XC_1614; XC_2744","false","PWY-6124","7.5","4","0","0","0.70646067","5","false","0","PWY-6124","5498","false","0.325"
"283","6.87640449","0.01035158","0.14542484","0.33333333","inosine-5'-phosphate biosynthesis I","4","4","15","5","XC_0467; XC_0510; XC_1613; XC_1614; XC_2744","false","PWY-6123","8.25","4","0","0","0.70617978","6","false","0","PWY-6123","5398","false","0.36363636"
"284","7.94382022","0.00274768","0.12588402","0.0","purine nucleosides salvage II (plant)","2","2","16","3","XC_0946; XC_1832; XC_2957","false","PWY-5043","2.5","2","0","0","0.65280899","2","false","0","PWY-5043","2066","true","0.5"
"286","6.98314607","0.0","0.14320193","1.0","xanthine and xanthosine salvage","3","3","15","1","XC_2956","false","SALVPURINE2-PWY","9.5","3","0","1","0.7008427","2","false","0","SALVPURINE2-PWY","0","false","0.59375"
"287","8.28651685","0.02089157","0.12067797","0.0","adenine and adenosine salvage I","2","2","17","2","XC_1832; XC_2956","false","P121-PWY","5.0","2","0","0","0.63567416","2","false","0","P121-PWY","12144","false","0.57142857"
"288","9.21348315","0.03339953","0.10853659","0.0","adenosine nucleotides degradation II","3","3","18","5","XC_0304; XC_1387; XC_2687; XC_2956; XC_3158","false","SALVADEHYPOX-PWY","2.66666667","3","0","0","0.58932584","5","false","0","SALVADEHYPOX-PWY","19476","false","0.41666667"
"289","8.26404494","0.02413387","0.12100612","0.0","adenine and adenosine salvage II","3","3","17","2","XC_0946; XC_1832","false","PWY-6605","4.0","3","0","0","0.63679775","2","false","0","PWY-6605","13932","false","0.375"
"290","7.01685393","0.0058207","0.14251401","0.0","adenine and adenosine salvage III","2","2","15","3","XC_0304; XC_2956; XC_2957","false","PWY-6609","9.0","2","0","0","0.6991573","4","false","0","PWY-6609","4514","false","0.66666667"
"291","7.02808989","0.01225154","0.14228617","0.0","guanine and guanosine salvage II","2","2","15","1","XC_2957","false","PWY-6599","6.5","2","0","0","0.69859551","2","false","0","PWY-6599","2702","false","0.5"
"292","7.10674157","0.0","0.14071146","0.0","pyrimidine ribonucleotides salvage","1","1","14","4","XC_0670; XC_1728; XC_1923; XC_2203","false","PWY0-163","6.0","1","0","0","0.69466292","9","false","0","PWY0-163","0","false","0.0"
"294","8.08988764","0.0","0.12361111","0.0","salvage pathways of pyrimidine deoxyribonucleotides","2","2","15","1","XC_4235","false","PWY0-181","2.0","2","0","1","0.64550562","5","false","0","PWY0-181","0","false","0.0"
