#TIME,N,T_CD4,T_CD8,U,V
11.53021622,4.64906168,1.193260312,1.621913195,2604.315918,5630.526367
11.53521633,4.64906168,1.193260312,1.621913195,2604.315918,5630.526367
11.54021645,4.64906168,1.193260312,1.621913195,2604.315918,5630.526367
11.54521656,4.64906168,1.193260312,1.621913195,2604.067139,5605.679199
11.55021667,4.64906168,1.193260312,1.621913195,2604.067139,5605.679199
11.55521679,4.64906168,1.193260312,1.621913195,2604.067139,5605.679199
11.5602169,4.659956455,1.197156072,1.626923323,2604.067139,5605.679199
11.56521702,4.659956455,1.197156072,1.626923323,2603.81665,5580.62207
11.57021713,4.659956455,1.197156072,1.626923323,2603.81665,5580.62207
11.57521725,4.659956455,1.197156072,1.626923323,2603.81665,5580.62207
11.58021736,4.659956455,1.197156072,1.626923323,2603.81665,5580.62207
11.58521748,4.659956455,1.197156072,1.626923323,2603.564697,5555.354004
11.59021759,4.659956455,1.197156072,1.626923323,2603.564697,5555.354004
11.5952177,4.659956455,1.197156072,1.626923323,2603.564697,5555.354004
11.60021782,4.659956455,1.197156072,1.626923323,2603.564697,5555.354004
11.60521793,4.670637608,1.201014519,1.631878734,2603.311279,5529.875488
11.61021805,4.670637608,1.201014519,1.631878734,2603.311279,5529.875488
11.61521816,4.670637608,1.201014519,1.631878734,2603.311279,5529.875488
11.62021828,4.670637608,1.201014519,1.631878734,2603.311279,5529.875488
11.62521839,4.670637608,1.201014519,1.631878734,2603.056641,5504.186035
11.63021851,4.670637608,1.201014519,1.631878734,2603.056641,5504.186035
11.63521862,4.670637608,1.201014519,1.631878734,2603.056641,5504.186035
11.64021873,4.670637608,1.201014519,1.631878734,2603.056641,5504.186035
11.64521885,4.670637608,1.201014519,1.631878734,2602.800537,5478.286133
11.65021896,4.670637608,1.201014519,1.631878734,2602.800537,5478.286133
11.65521908,4.681106091,1.204835534,1.636779308,2602.800537,5478.286133
11.66021919,4.681106091,1.204835534,1.636779308,2602.800537,5478.286133
11.66521931,4.681106091,1.204835534,1.636779308,2602.542969,5452.175781
11.67021942,4.681106091,1.204835534,1.636779308,2602.542969,5452.175781
11.67521954,4.681106091,1.204835534,1.636779308,2602.542969,5452.175781
11.68021965,4.681106091,1.204835534,1.636779308,2602.542969,5452.175781
11.68521976,4.681106091,1.204835534,1.636779308,2602.283936,5425.854492
11.69021988,4.681106091,1.204835534,1.636779308,2602.283936,5425.854492
11.69521999,4.681106091,1.204835534,1.636779308,2602.283936,5425.854492
11.70022011,4.691362381,1.208619118,1.641625047,2602.283936,5425.854492
11.70522022,4.691362381,1.208619118,1.641625047,2602.023926,5399.323242
11.71022034,4.691362381,1.208619118,1.641625047,2602.023926,5399.323242
11.71522045,4.691362381,1.208619118,1.641625047,2602.023926,5399.323242
11.72022057,4.691362381,1.208619118,1.641625047,2602.023926,5399.323242
11.72522068,4.691362381,1.208619118,1.641625047,2601.762207,5372.580566
11.73022079,4.691362381,1.208619118,1.641625047,2601.762207,5372.580566
11.73522091,4.691362381,1.208619118,1.641625047,2601.762207,5372.580566
11.74022102,4.691362381,1.208619118,1.641625047,2601.762207,5372.580566
11.74522114,4.691362381,1.208619118,1.641625047,2601.499023,5345.62793
11.75022125,4.701405525,1.212365389,1.646416068,2601.499023,5345.62793
11.75522137,4.701405525,1.212365389,1.646416068,2601.499023,5345.62793
11.76022148,4.701405525,1.212365389,1.646416068,2601.499023,5345.62793
11.7652216,4.701405525,1.212365389,1.646416068,2601.234375,5318.464355
11.77022171,4.701405525,1.212365389,1.646416068,2601.234375,5318.464355
11.77522182,4.701405525,1.212365389,1.646416068,2601.234375,5318.464355
11.78022194,4.701405525,1.212365389,1.646416068,2601.234375,5318.464355
11.78522205,4.701405525,1.212365389,1.646416068,2600.968506,5291.090332
11.79022217,4.701405525,1.212365389,1.646416068,2600.968506,5291.090332
11.79522228,4.701405525,1.212365389,1.646416068,2600.968506,5291.090332
11.8002224,4.711236477,1.216074347,1.651152134,2600.968506,5291.090332
11.80522251,4.711236477,1.216074347,1.651152134,2600.701172,5263.505371
11.81022263,4.711236477,1.216074347,1.651152134,2600.701172,5263.505371
11.81522274,4.711236477,1.216074347,1.651152134,2600.701172,5263.505371
11.82022285,4.711236477,1.216074347,1.651152134,2600.701172,5263.505371
11.82522297,4.711236477,1.216074347,1.651152134,2600.432373,5235.710449
11.83022308,4.711236477,1.216074347,1.651152134,2600.432373,5235.710449
11.8352232,4.711236477,1.216074347,1.651152134,2600.432373,5235.710449
11.84022331,4.711236477,1.216074347,1.651152134,2600.432373,5235.710449
11.84522343,4.711236477,1.216074347,1.651152134,2600.432373,5235.710449
11.85022354,4.720854759,1.219745874,1.655833483,2600.162354,5207.704102
11.85522366,4.720854759,1.219745874,1.655833483,2600.162354,5207.704102
11.86022377,4.720854759,1.219745874,1.655833483,2600.162354,5207.704102
11.86522388,4.720854759,1.219745874,1.655833483,2600.162354,5207.704102
11.870224,4.720854759,1.219745874,1.655833483,2599.890869,5179.487793
11.87522411,4.720854759,1.219745874,1.655833483,2599.890869,5179.487793
11.88022423,4.720854759,1.219745874,1.655833483,2599.890869,5179.487793
11.88522434,4.720854759,1.219745874,1.655833483,2599.890869,5179.487793
11.89022446,4.720854759,1.219745874,1.655833483,2599.61792,5151.060547
11.89522457,4.730259895,1.22337997,1.660459995,2599.61792,5151.060547
11.90022469,4.730259895,1.22337997,1.660459995,2599.61792,5151.060547
11.9052248,4.730259895,1.22337997,1.660459995,2599.61792,5151.060547
11.91022491,4.730259895,1.22337997,1.660459995,2599.34375,5122.422852
11.91522503,4.730259895,1.22337997,1.660459995,2599.34375,5122.422852
11.92022514,4.730259895,1.22337997,1.660459995,2599.34375,5122.422852
11.92522526,4.730259895,1.22337997,1.660459995,2599.34375,5122.422852
11.93022537,4.730259895,1.22337997,1.660459995,2599.067871,5093.574707
11.93522549,4.730259895,1.22337997,1.660459995,2599.067871,5093.574707
11.9402256,4.730259895,1.22337997,1.660459995,2599.067871,5093.574707
11.94522572,4.730259895,1.22337997,1.660459995,2599.067871,5093.574707
11.95022583,4.739452839,1.226976752,1.665031672,2599.067871,5093.574707
11.95522594,4.739452839,1.226976752,1.665031672,2598.790771,5064.515625
11.96022606,4.739452839,1.226976752,1.665031672,2598.790771,5064.515625
11.96522617,4.739452839,1.226976752,1.665031672,2598.790771,5064.515625
11.97022629,4.739452839,1.226976752,1.665031672,2598.790771,5064.515625
11.9752264,4.739452839,1.226976752,1.665031672,2598.512207,5035.246094
11.98022652,4.739452839,1.226976752,1.665031672,2598.512207,5035.246094
11.98522663,4.739452839,1.226976752,1.665031672,2598.512207,5035.246094
11.99022675,4.739452839,1.226976752,1.665031672,2598.512207,5035.246094
11.99522686,4.739452839,1.226976752,1.665031672,2598.232178,5005.765625
12.00022697,4.748432636,1.230536103,1.669548512,2598.232178,5005.765625
12.00522709,4.748432636,1.230536103,1.669548512,2598.232178,5005.765625
12.0102272,4.748432636,1.230536103,1.669548512,2598.232178,5005.765625
12.01522732,4.748432636,1.230536103,1.669548512,2597.950928,4976.075195
12.02022743,4.748432636,1.230536103,1.669548512,2597.950928,4976.075195
12.02522755,4.748432636,1.230536103,1.669548512,2597.950928,4976.075195
12.03022766,4.748432636,1.230536103,1.669548512,2597.950928,4976.075195
12.03522778,4.748432636,1.230536103,1.669548512,2597.950928,4976.075195
12.04022789,4.748432636,1.230536103,1.669548512,2597.668213,4946.173828
12.045228,4.748432636,1.230536103,1.669548512,2597.668213,4946.173828
12.05022812,4.757200241,1.234058142,1.674010515,2597.668213,4946.173828
12.05522823,4.757200241,1.234058142,1.674010515,2597.668213,4946.173828
12.06022835,4.757200241,1.234058142,1.674010515,2597.384033,4916.061523
12.06522846,4.757200241,1.234058142,1.674010515,2597.384033,4916.061523
12.07022858,4.757200241,1.234058142,1.674010515,2597.384033,4916.061523
12.07522869,4.757200241,1.234058142,1.674010515,2597.384033,4916.061523
12.08022881,4.757200241,1.234058142,1.674010515,2597.098633,4885.73877
12.08522892,4.757200241,1.234058142,1.674010515,2597.098633,4885.73877
12.09022903,4.757200241,1.234058142,1.674010515,2597.098633,4885.73877
12.09522915,4.757200241,1.234058142,1.674010515,2597.098633,4885.73877
12.10022926,4.765755177,1.237542748,1.678417802,2597.098633,4885.73877
12.10522938,4.765755177,1.237542748,1.678417802,2596.811523,4855.205566
12.11022949,4.765755177,1.237542748,1.678417802,2596.811523,4855.205566
12.11522961,4.765755177,1.237542748,1.678417802,2596.811523,4855.205566
12.12022972,4.765755177,1.237542748,1.678417802,2596.811523,4855.205566
12.12522984,4.765755177,1.237542748,1.678417802,2596.523193,4824.461914
12.13022995,4.765755177,1.237542748,1.678417802,2596.523193,4824.461914
12.13523006,4.765755177,1.237542748,1.678417802,2596.523193,4824.461914
12.14023018,4.765755177,1.237542748,1.678417802,2596.523193,4824.461914
12.14523029,4.765755177,1.237542748,1.678417802,2596.523193,4824.461914
12.15023041,4.765755177,1.237542748,1.678417802,2596.233398,4793.507324
12.15523052,4.774097443,1.240990043,1.682770252,2596.233398,4793.507324
12.16023064,4.774097443,1.240990043,1.682770252,2596.233398,4793.507324
12.16523075,4.774097443,1.240990043,1.682770252,2596.233398,4793.507324
12.17023087,4.774097443,1.240990043,1.682770252,2595.942139,4762.342285
12.17523098,4.774097443,1.240990043,1.682770252,2595.942139,4762.342285
12.18023109,4.774097443,1.240990043,1.682770252,2595.942139,4762.342285
12.18523121,4.774097443,1.240990043,1.682770252,2595.942139,4762.342285
12.19023132,4.774097443,1.240990043,1.682770252,2595.942139,4762.342285
12.19523144,4.774097443,1.240990043,1.682770252,2595.649658,4730.966797
12.20023155,4.774097443,1.240990043,1.682770252,2595.649658,4730.966797
12.20523167,4.782226563,1.244400024,1.687067866,2595.649658,4730.966797
12.21023178,4.782226563,1.244400024,1.687067866,2595.649658,4730.966797
12.2152319,4.782226563,1.244400024,1.687067866,2595.355713,4699.380371
12.22023201,4.782226563,1.244400024,1.687067866,2595.355713,4699.380371
12.22523212,4.782226563,1.244400024,1.687067866,2595.355713,4699.380371
12.23023224,4.782226563,1.244400024,1.687067866,2595.355713,4699.380371
12.23523235,4.782226563,1.244400024,1.687067866,2595.060547,4667.583496
12.24023247,4.782226563,1.244400024,1.687067866,2595.060547,4667.583496
12.24523258,4.782226563,1.244400024,1.687067866,2595.060547,4667.583496
12.2502327,4.782226563,1.244400024,1.687067866,2595.060547,4667.583496
12.25523281,4.782226563,1.244400024,1.687067866,2595.060547,4667.583496
12.26023293,4.79014349,1.247772455,1.691310644,2594.763672,4635.576172
12.26523304,4.79014349,1.247772455,1.691310644,2594.763672,4635.576172
12.27023315,4.79014349,1.247772455,1.691310644,2594.763672,4635.576172
12.27523327,4.79014349,1.247772455,1.691310644,2594.763672,4635.576172
12.28023338,4.79014349,1.247772455,1.691310644,2594.465576,4603.35791
12.2852335,4.79014349,1.247772455,1.691310644,2594.465576,4603.35791
12.29023361,4.79014349,1.247772455,1.691310644,2594.465576,4603.35791
12.29523373,4.79014349,1.247772455,1.691310644,2594.465576,4603.35791
12.30023384,4.79014349,1.247772455,1.691310644,2594.465576,4603.35791
12.30523396,4.79014349,1.247772455,1.691310644,2594.166016,4570.929199
12.31023407,4.79014349,1.247772455,1.691310644,2594.166016,4570.929199
12.31523418,4.797847271,1.251107574,1.695498586,2594.166016,4570.929199
12.3202343,4.797847271,1.251107574,1.695498586,2594.166016,4570.929199
12.32523441,4.797847271,1.251107574,1.695498586,2594.166016,4570.929199
12.33023453,4.797847271,1.251107574,1.695498586,2593.86499,4538.290039
12.33523464,4.797847271,1.251107574,1.695498586,2593.86499,4538.290039
12.34023476,4.797847271,1.251107574,1.695498586,2593.86499,4538.290039
12.34523487,4.797847271,1.251107574,1.695498586,2593.86499,4538.290039
12.35023499,4.797847271,1.251107574,1.695498586,2593.5625,4505.44043
12.3552351,4.797847271,1.251107574,1.695498586,2593.5625,4505.44043
12.36023521,4.797847271,1.251107574,1.695498586,2593.5625,4505.44043
12.36523533,4.797847271,1.251107574,1.695498586,2593.5625,4505.44043
12.37023544,4.80533886,1.254405379,1.69963181,2593.5625,4505.44043
12.37523556,4.80533886,1.254405379,1.69963181,2593.258789,4472.379883
12.38023567,4.80533886,1.254405379,1.69963181,2593.258789,4472.379883
12.38523579,4.80533886,1.254405379,1.69963181,2593.258789,4472.379883
12.3902359,4.80533886,1.254405379,1.69963181,2593.258789,4472.379883
12.39523602,4.80533886,1.254405379,1.69963181,2592.953613,4439.108398
12.40023613,4.80533886,1.254405379,1.69963181,2592.953613,4439.108398
12.40523624,4.80533886,1.254405379,1.69963181,2592.953613,4439.108398
12.41023636,4.80533886,1.254405379,1.69963181,2592.953613,4439.108398
12.41523647,4.80533886,1.254405379,1.69963181,2592.953613,4439.108398
12.42023659,4.80533886,1.254405379,1.69963181,2592.647217,4405.626953
12.4252367,4.812617779,1.257665753,1.703710198,2592.647217,4405.626953
12.43023682,4.812617779,1.257665753,1.703710198,2592.647217,4405.626953
12.43523693,4.812617779,1.257665753,1.703710198,2592.647217,4405.626953
12.44023705,4.812617779,1.257665753,1.703710198,2592.647217,4405.626953
12.44523716,4.812617779,1.257665753,1.703710198,2592.339111,4371.93457
12.45023727,4.812617779,1.257665753,1.703710198,2592.339111,4371.93457
12.45523739,4.812617779,1.257665753,1.703710198,2592.339111,4371.93457
12.4602375,4.812617779,1.257665753,1.703710198,2592.339111,4371.93457
12.46523762,4.812617779,1.257665753,1.703710198,2592.029785,4338.031738
12.47023773,4.812617779,1.257665753,1.703710198,2592.029785,4338.031738
12.47523785,4.812617779,1.257665753,1.703710198,2592.029785,4338.031738
12.48023796,4.819683552,1.260888696,1.707733631,2592.029785,4338.031738
12.48523808,4.819683552,1.260888696,1.707733631,2592.029785,4338.031738
12.49023819,4.819683552,1.260888696,1.707733631,2591.718994,4303.917969
12.4952383,4.819683552,1.260888696,1.707733631,2591.718994,4303.917969
12.50023842,4.819683552,1.260888696,1.707733631,2591.718994,4303.917969
12.50523853,4.819683552,1.260888696,1.707733631,2591.718994,4303.917969
12.51023865,4.819683552,1.260888696,1.707733631,2591.718994,4303.917969
