"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","CommonName","Degree","degree.layout","Eccentricity","EnzymeCounts","GeneObjects","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","ReactionCounts","selected","SelfLoops","shared name","Stress","SuperPathway","TopologicalCoefficient"
"220","0.0","0.0","0.0","0.0","taxiphyllin bioactivation","0",,"0","4","XC_2834; XC_2991; XC_3159; XC_3886","true","PWY-7089","0.0","0","0","0","9.223372036854776E10","1","false","0","PWY-7089","0","false","0.0"
"221","0.0","0.0","0.0","0.0","betanidin degradation","0",,"0","1","XC_3037","true","PWY-5461","0.0","0","0","0","9.223372036854776E10","1","false","0","PWY-5461","0","false","0.0"
"222","1.4","0.7","0.71428571","0.0","glycolysis II (from fructose-6P)","3","3","2","12","XC_0098; XC_0872; XC_0976; XC_0978; XC_0979; XC_1404; XC_1587; XC_1952; XC_2371; XC_2531; XC_3287; XC_3488","false","PWY-5484","1.66666667","3","0","0","0.86666667","10","false","0","PWY-5484","14","false","0.33333333"
"223","1.4","0.6","0.71428571","0.33333333","<i>N</i>-acetylglucosamine degradation II","3","3","2","1","XC_0754","false","PWY-6517","2.33333333","3","0","0","0.86666667","4","false","0","PWY-6517","12","true","0.5"
"224","2.0","0.0","0.5","1.0","<i>N</i>-acetylglucosamine degradation I","2","2","3","1","XC_0754","false","GLUAMCAT-PWY","2.5","2","0","0","0.66666667","2","false","0","GLUAMCAT-PWY","0","false","0.83333333"
"225","0.0","0.0","0.0","0.0","allantoin degradation to ureidoglycolate II (ammonia producing)","0",,"0","2","XC_0294; XC_1858","true","PWY-5698","0.0","0","0","0","9.223372036854776E10","3","false","0","PWY-5698","0","false","0.0"
"226","0.0","0.0","0.0","0.0","4-aminobutyrate degradation I","0",,"0","0","","true","PWY-6535","0.0","0","0","0","9.223372036854776E10","2","false","0","PWY-6535","0","false","0.0"
"227","0.0","0.0","0.0","0.0","4-aminobutyrate degradation II","0",,"0","0","","true","PWY-6537","0.0","0","0","0","9.223372036854776E10","2","false","0","PWY-6537","0","false","0.0"
"228","0.0","0.0","0.0","0.0","ethanolamine utilization","0",,"0","2","XC_1854; XC_1855","true","PWY0-1477","0.0","0","0","0","9.223372036854776E10","1","false","0","PWY0-1477","0","false","0.0"
"229","0.0","0.0","0.0","0.0","spermidine biosynthesis I","0",,"0","2","XC_0487; XC_3954","true","BSUBPOLYAMSYN-PWY","0.0","0","0","0","9.223372036854776E10","2","false","0","BSUBPOLYAMSYN-PWY","0","false","0.0"
