"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"525","179.0","Contains","GALACT-GLUCUROCAT-PWY (Contains) GALACTUROCAT-PWY","false","Contains","GALACT-GLUCUROCAT-PWY (Contains) GALACTUROCAT-PWY"
"526","529.0","interact_with","GALACTUROCAT-PWY (interact_with) ENTNER-DOUDOROFF-PWY","false","interact_with","GALACTUROCAT-PWY (interact_with) ENTNER-DOUDOROFF-PWY"
"527","356.0","interact_with","DHGLUCONATE-PYR-CAT-PWY (interact_with) ENTNER-DOUDOROFF-PWY","false","interact_with","DHGLUCONATE-PYR-CAT-PWY (interact_with) ENTNER-DOUDOROFF-PWY"
"528","2.0","interact_with","GALDEG-PWY (interact_with) GALACTCAT-PWY","false","interact_with","GALDEG-PWY (interact_with) GALACTCAT-PWY"
"529","2.0","interact_with","GALACTCAT-PWY (interact_with) GALDEG-PWY","false","interact_with","GALACTCAT-PWY (interact_with) GALDEG-PWY"
"530","2.0","interact_with","PWY0-1261 (interact_with) GLUAMCAT-PWY","false","interact_with","PWY0-1261 (interact_with) GLUAMCAT-PWY"
"531","8.0","interact_with","PWY0-1261 (interact_with) PWY-6517","false","interact_with","PWY0-1261 (interact_with) PWY-6517"
"532","10.0","interact_with","PWY-5484 (interact_with) FERMENTATION-PWY","false","interact_with","PWY-5484 (interact_with) FERMENTATION-PWY"
"533","18.0","interact_with","PWY-6517 (interact_with) PWY-5484","false","interact_with","PWY-6517 (interact_with) PWY-5484"
"534","8.0","Contains","PWY-6517 (Contains) GLUAMCAT-PWY","false","Contains","PWY-6517 (Contains) GLUAMCAT-PWY"
"535","356.0","Contains","PWY-6353 (Contains) PWY-6608","false","Contains","PWY-6353 (Contains) PWY-6608"
"536","1056.0","Contains","PWY-6353 (Contains) SALVADEHYPOX-PWY","false","Contains","PWY-6353 (Contains) SALVADEHYPOX-PWY"
"537","356.0","Contains","PWY-6353 (Contains) PWY-5695","false","Contains","PWY-6353 (Contains) PWY-5695"
"538","99.92380952","interact_with","PWY-7176 (interact_with) PWY-5686","false","interact_with","PWY-7176 (interact_with) PWY-5686"
"539","313.9764411","INCOMING","PWY-5686 (INCOMING) PRPP-BIOSYNTHESIS","false","INCOMING","PWY-5686 (INCOMING) PRPP-BIOSYNTHESIS"
"540","99.92380952","interact_with","PWY-5686 (interact_with) PWY-7176","false","interact_with","PWY-5686 (interact_with) PWY-7176"
"541","708.0","interact_with","PWY0-166 (interact_with) PWY0-162","false","interact_with","PWY0-166 (interact_with) PWY0-162"
"542","708.0","interact_with","PWY0-166 (interact_with) PWY0-162","false","interact_with","PWY0-166 (interact_with) PWY0-162"
"543","708.0","interact_with","PWY0-166 (interact_with) PWY0-162","false","interact_with","PWY0-166 (interact_with) PWY0-162"
"544","356.0","interact_with","PWY0-181 (interact_with) PWY0-166","false","interact_with","PWY0-181 (interact_with) PWY0-166"
"545","356.0","interact_with","PWY0-181 (interact_with) PWY0-166","false","interact_with","PWY0-181 (interact_with) PWY0-166"
"546","356.0","interact_with","PWY0-163 (interact_with) PWY0-162","false","interact_with","PWY0-163 (interact_with) PWY0-162"
"547","729.09232434","interact_with","PWY-6599 (interact_with) PWY-6125","false","interact_with","PWY-6599 (interact_with) PWY-6125"
"548","227.0536963","interact_with","PWY-6609 (interact_with) PWY-6126","false","interact_with","PWY-6609 (interact_with) PWY-6126"
"549","495.72036297","interact_with","PWY-6609 (interact_with) PWY-6125","false","interact_with","PWY-6609 (interact_with) PWY-6125"
"550","736.07592408","INCOMING","PWY-6605 (INCOMING) SALVADEHYPOX-PWY","false","INCOMING","PWY-6605 (INCOMING) SALVADEHYPOX-PWY"
"551","1010.41217116","interact_with","PWY-6605 (interact_with) PWY-6126","false","interact_with","PWY-6605 (interact_with) PWY-6126"
"552","668.4955045","INCOMING","P121-PWY (INCOMING) SALVADEHYPOX-PWY","false","INCOMING","P121-PWY (INCOMING) SALVADEHYPOX-PWY"
"553","1003.92407592","interact_with","P121-PWY (interact_with) PWY-6126","false","interact_with","P121-PWY (interact_with) PWY-6126"
"554","307.9","interact_with","SALVPURINE2-PWY (interact_with) PWY-6125","false","interact_with","SALVPURINE2-PWY (interact_with) PWY-6125"
"555","48.1","interact_with","SALVPURINE2-PWY (interact_with) DENOVOPURINE2-PWY","false","interact_with","SALVPURINE2-PWY (interact_with) DENOVOPURINE2-PWY"
"556","48.1","interact_with","SALVPURINE2-PWY (interact_with) DENOVOPURINE2-PWY","false","interact_with","SALVPURINE2-PWY (interact_with) DENOVOPURINE2-PWY"
"557","398.90184815","Contains","PWY-5043 (Contains) PWY-6599","false","Contains","PWY-5043 (Contains) PWY-6599"
"558","130.23518149","Contains","PWY-5043 (Contains) PWY-6605","false","Contains","PWY-5043 (Contains) PWY-6605"
"559","168.41666667","INCOMING","PWY-6123 (INCOMING) AIR-BIOSYNTHESIS","false","INCOMING","PWY-6123 (INCOMING) AIR-BIOSYNTHESIS"
"560","280.76083916","interact_with","PWY-6123 (interact_with) PWY-6126","false","interact_with","PWY-6123 (interact_with) PWY-6126"
"561","542.81322011","interact_with","PWY-6123 (interact_with) PWY-6125","false","interact_with","PWY-6123 (interact_with) PWY-6125"
"562","166.91666667","INCOMING","PWY-6124 (INCOMING) AIR-BIOSYNTHESIS","false","INCOMING","PWY-6124 (INCOMING) AIR-BIOSYNTHESIS"
"563","303.59417249","interact_with","PWY-6124 (interact_with) PWY-6126","false","interact_with","PWY-6124 (interact_with) PWY-6126"
"564","574.04655345","interact_with","PWY-6124 (interact_with) PWY-6125","false","interact_with","PWY-6124 (interact_with) PWY-6125"
"565","356.0","interact_with","PWY-6620 (interact_with) PWY-6125","false","interact_with","PWY-6620 (interact_with) PWY-6125"
"566","1053.36679154","INCOMING","PWY-6126 (INCOMING) IMP-BIOSYNTHESIS","false","INCOMING","PWY-6126 (INCOMING) IMP-BIOSYNTHESIS"
"567","291.83333333","interact_with","PWY-6122 (interact_with) THISYN-PWY","false","interact_with","PWY-6122 (interact_with) THISYN-PWY"
"568","5.65","interact_with","PWY-6122 (interact_with) PWY-841","false","interact_with","PWY-6122 (interact_with) PWY-841"
"569","58.31666667","interact_with","PWY-6122 (interact_with) DENOVOPURINE2-PWY","false","interact_with","PWY-6122 (interact_with) DENOVOPURINE2-PWY"
"570","291.83333333","interact_with","PWY-6121 (interact_with) THISYN-PWY","false","interact_with","PWY-6121 (interact_with) THISYN-PWY"
"571","5.65","interact_with","PWY-6121 (interact_with) PWY-841","false","interact_with","PWY-6121 (interact_with) PWY-841"
"572","58.31666667","interact_with","PWY-6121 (interact_with) DENOVOPURINE2-PWY","false","interact_with","PWY-6121 (interact_with) DENOVOPURINE2-PWY"
"573","64.85","Contains","PWY-841 (Contains) PWY-6124","false","Contains","PWY-841 (Contains) PWY-6124"
"574","293.1","interact_with","PWY-841 (interact_with) THISYN-PWY","false","interact_with","PWY-841 (interact_with) THISYN-PWY"
"575","5.65","Contains","PWY-841 (Contains) PWY-6121","false","Contains","PWY-841 (Contains) PWY-6121"
"576","16.28333333","Contains","DENOVOPURINE2-PWY (Contains) PWY-6123","false","Contains","DENOVOPURINE2-PWY (Contains) PWY-6123"
"577","454.69298202","Contains","DENOVOPURINE2-PWY (Contains) PWY-6125","false","Contains","DENOVOPURINE2-PWY (Contains) PWY-6125"
"578","689.67265235","Contains","DENOVOPURINE2-PWY (Contains) PWY-6126","false","Contains","DENOVOPURINE2-PWY (Contains) PWY-6126"
"579","680.69157509","interact_with","DENOVOPURINE2-PWY (interact_with) THISYN-PWY","false","interact_with","DENOVOPURINE2-PWY (interact_with) THISYN-PWY"
"580","58.31666667","Contains","DENOVOPURINE2-PWY (Contains) PWY-6122","false","Contains","DENOVOPURINE2-PWY (Contains) PWY-6122"
"581","2.5","Contains","PWY-6277 (Contains) PWY-6122","false","Contains","PWY-6277 (Contains) PWY-6122"
"582","2.5","Contains","PWY-6277 (Contains) PWY-6121","false","Contains","PWY-6277 (Contains) PWY-6121"
"583","291.33333333","interact_with","PWY-6277 (interact_with) THISYN-PWY","false","interact_with","PWY-6277 (interact_with) THISYN-PWY"
"584","5.15","interact_with","PWY-6277 (interact_with) PWY-841","false","interact_with","PWY-6277 (interact_with) PWY-841"
"585","57.81666667","interact_with","PWY-6277 (interact_with) DENOVOPURINE2-PWY","false","interact_with","PWY-6277 (interact_with) DENOVOPURINE2-PWY"
"586","356.0","interact_with","PWY-6825 (interact_with) PWY-5669","false","interact_with","PWY-6825 (interact_with) PWY-5669"
"587","356.0","Contains","PWY4FS-8 (Contains) PWY-5667","false","Contains","PWY4FS-8 (Contains) PWY-5667"
"588","356.0","interact_with","PWY-5269 (interact_with) PWY-5667","false","interact_with","PWY-5269 (interact_with) PWY-5667"
"589","356.0","interact_with","PWY-5667 (interact_with) PWY-5269","false","interact_with","PWY-5667 (interact_with) PWY-5269"
"590","351.33333333","interact_with","PWY-5667 (interact_with) PWY-5668","false","interact_with","PWY-5667 (interact_with) PWY-5668"
"591","357.33333333","interact_with","PWY-5667 (interact_with) PWY-5669","false","interact_with","PWY-5667 (interact_with) PWY-5669"
"592","356.0","Contains","PWY4FS-7 (Contains) PWY0-1319","false","Contains","PWY4FS-7 (Contains) PWY0-1319"
"593","357.33333333","interact_with","PWY-5669 (interact_with) PWY-5667","false","interact_with","PWY-5669 (interact_with) PWY-5667"
"594","351.33333333","interact_with","PWY-5668 (interact_with) PWY-5667","false","interact_with","PWY-5668 (interact_with) PWY-5667"
"595","5.33333333","Contains","PHOSLIPSYN-PWY (Contains) PWY-5669","false","Contains","PHOSLIPSYN-PWY (Contains) PWY-5669"
"596","3.33333333","Contains","PHOSLIPSYN-PWY (Contains) PWY-5668","false","Contains","PHOSLIPSYN-PWY (Contains) PWY-5668"
"597","350.0","Contains","PHOSLIPSYN-PWY (Contains) PWY-5667","false","Contains","PHOSLIPSYN-PWY (Contains) PWY-5667"
"598","688.0","Contains","PHOSLIPSYN-PWY (Contains) PWY0-1319","false","Contains","PHOSLIPSYN-PWY (Contains) PWY0-1319"
"599","356.0","interact_with","PWY-5989 (interact_with) PWY-5971","false","interact_with","PWY-5989 (interact_with) PWY-5971"
"600","356.0","interact_with","PWY-5989 (interact_with) PWY-5971","false","interact_with","PWY-5989 (interact_with) PWY-5971"
"601","2.0","interact_with","PWY-5966 (interact_with) FASYN-ELONG-PWY","false","interact_with","PWY-5966 (interact_with) FASYN-ELONG-PWY"
"602","498.0","interact_with","PWY0-862 (interact_with) PWY-5971","false","interact_with","PWY0-862 (interact_with) PWY-5971"
"603","169.0","interact_with","PWY0-862 (interact_with) PWY-6282","false","interact_with","PWY0-862 (interact_with) PWY-6282"
"604","169.0","interact_with","PWY-6282 (interact_with) PWY0-862","false","interact_with","PWY-6282 (interact_with) PWY0-862"
"605","3.0","interact_with","PWY-6282 (interact_with) PWY-5973","false","interact_with","PWY-6282 (interact_with) PWY-5973"
"606","3.0","interact_with","PWY-5973 (interact_with) PWY-6282","false","interact_with","PWY-5973 (interact_with) PWY-6282"
"607","1033.33333333","interact_with","PWY0-1319 (interact_with) PWY-5669","false","interact_with","PWY0-1319 (interact_with) PWY-5669"
